@contest "SanSi Cup 2024"
@s 29,G,1,3750,RJ
@s 43,G,1,3760,OK
@s 36,F,1,3765,RJ
@s 43,F,1,3771,OK
@s 9,F,1,3776,OK
@s 47,G,1,3790,RJ
@s 48,G,1,3799,RJ
@s 36,G,1,3806,RJ
@s 10,C,1,3809,RJ
@s 53,D,1,3843,OK
@s 49,D,1,3851,RJ
@s 2,D,1,3857,RJ
@s 53,D,1,3860,OK
@s 5,A,1,3864,RJ
@s 25,A,1,3865,RJ
@s 3,C,1,4083,RJ
@s 47,G,1,4084,RJ
@s 52,B,1,4114,RJ
@s 43,F,1,4124,OK
@s 25,A,1,4132,RJ
@s 43,G,1,4134,OK
@s 23,F,1,4137,OK
@s 25,A,1,4157,RJ
@s 31,B,1,4169,RJ
@s 6,A,1,4171,RJ
@s 38,G,1,4176,OK
@s 8,G,1,4192,RJ
@s 3,C,1,4218,RJ
@s 4,C,1,4219,RJ
@s 25,A,1,4275,RJ
@s 49,D,1,4277,RJ
@s 4,C,1,4307,RJ
@s 5,F,1,4313,OK
@s 21,F,1,4341,RJ
@s 5,A,1,4341,RJ
@s 25,A,1,4351,RJ
@s 3,C,1,4360,RJ
@s 25,A,1,4387,RJ
@s 36,G,1,4414,RJ
@s 6,A,1,4416,RJ
@s 25,A,1,4419,RJ
@s 29,G,1,4421,OK
@s 49,D,1,4462,OK
@s 49,D,1,4540,OK
@s 3,C,1,4627,RJ
@s 21,F,1,4628,RJ
@s 19,G,1,4629,OK
@s 47,G,1,4632,OK
@s 8,G,1,4632,RJ
@s 46,G,1,4642,RJ
@s 3,C,1,4670,RJ
@s 25,A,1,4697,RJ
@s 3,C,1,4701,RJ
@s 3,C,1,4706,RJ
@s 3,C,1,4712,RJ
@s 3,C,1,4726,RJ
@s 3,C,1,4732,RJ
@s 49,D,1,4740,OK
@s 11,C,1,4775,RJ
@s 49,G,1,4793,RJ
@s 29,G,1,4818,OK
@s 36,G,1,4843,RJ
@s 47,D,1,4901,OK
@s 13,A,1,4912,RJ
@s 36,A,1,4925,RJ
@s 5,A,1,4939,RJ
@s 41,F,1,4969,OK
@s 33,F,1,4969,RJ
@s 33,C,1,4987,RJ
@s 20,B,1,4994,RJ
@s 13,C,1,5007,RJ
@s 33,C,1,5096,RJ
@s 33,C,1,5698,RJ
@s 1,F,1,5699,RJ
@s 21,F,1,5699,RJ
@s 4,F,1,5707,RJ
@s 20,F,1,5709,RJ
@s 15,F,1,5726,RJ
@s 1,F,1,5730,RJ
@s 26,G,1,5732,RJ
@s 39,B,1,5736,OK
@s 3,C,1,5750,RJ
@s 25,A,1,5751,RJ
@s 16,F,1,5753,RJ
@s 3,B,1,5755,OK
@s 5,A,1,5759,RJ
@s 6,F,1,5767,RJ
@s 8,G,1,5787,RJ
@s 34,F,1,5790,RJ
@s 1,F,1,5799,OK
@s 48,C,1,5801,RJ
@s 12,G,1,5805,RJ
@s 3,C,1,5835,RJ
@s 24,A,1,5872,RJ
@s 49,G,1,5888,RJ
@s 3,C,1,5893,RJ
@s 3,C,1,5921,RJ
@s 24,A,1,5921,RJ
@s 34,F,1,5927,RJ
@s 8,B,1,6192,RJ
@s 4,C,1,6194,RJ
@s 10,G,1,6195,RJ
@s 38,C,1,6202,RJ
@s 21,F,1,6211,RJ
@s 15,F,1,6213,RJ
@s 38,F,1,6215,RJ
@s 26,G,1,6226,RJ
@s 36,A,1,6232,RJ
@s 10,G,1,6234,RJ
@s 11,C,1,6269,RJ
@s 24,A,1,6276,RJ
@s 36,A,1,6283,RJ
@s 21,F,1,6315,RJ
@s 25,A,1,6317,OK
@s 12,G,1,6350,RJ
@s 46,G,1,6352,OK
@s 15,F,1,6353,OK
@s 20,B,1,6401,RJ
@s 10,G,1,6556,RJ
@s 50,C,1,6560,RJ
@s 12,G,1,6575,OK
@s 18,G,1,6585,RJ
@s 3,C,1,6588,RJ
@s 3,C,1,6594,RJ
@s 3,C,1,6601,RJ
@s 19,B,1,6603,RJ
@s 3,C,1,6609,RJ
@s 50,C,1,6637,RJ
@s 2,D,1,6657,OK
@s 6,F,1,6665,RJ
@s 15,F,1,6671,OK
@s 6,A,1,6688,RJ
@s 46,G,1,6718,OK
@s 22,B,1,6728,OK
@s 24,A,1,6735,RJ
@s 17,C,1,6759,RJ
@s 5,A,1,6771,RJ
@s 16,F,1,6778,RJ
@s 1,B,1,6901,RJ
@s 13,G,1,6906,RJ
@s 9,C,1,6923,RJ
@s 5,B,1,6930,RJ
@s 5,A,1,6944,RJ
@s 19,B,1,6957,RJ
@s 18,G,1,6969,RJ
@s 52,C,1,6980,RJ
@s 19,B,1,6994,RJ
@s 5,A,1,7022,RJ
@s 35,C,1,7115,RJ
@s 24,A,1,7118,RJ
@s 23,C,1,7214,RJ
@s 4,B,1,7224,RJ
@s 24,A,1,7231,RJ
@s 3,F,1,7237,RJ
@s 27,G,1,7239,RJ
@s 5,A,1,7247,RJ
@s 24,A,1,7248,RJ
@s 18,G,1,7250,RJ
@s 6,F,1,7251,RJ
@s 27,D,1,7252,OK
@s 3,F,1,7254,OK
@s 45,F,1,7274,RJ
@s 4,B,1,7287,RJ
@s 19,B,1,7295,RJ
@s 38,A,1,7421,RJ
@s 16,F,1,7458,RJ
@s 38,A,1,7542,RJ
@s 19,B,1,7556,RJ
@s 9,C,1,7605,RJ
@s 4,B,1,7611,RJ
@s 51,A,1,7623,RJ
@s 24,A,1,7628,RJ
@s 44,G,1,7632,RJ
@s 35,C,1,7638,RJ
@s 47,A,1,7671,RJ
@s 24,A,1,7684,RJ
@s 44,G,1,7814,RJ
@s 9,C,1,7816,RJ
@s 10,G,1,7820,RJ
@s 32,B,1,7831,RJ
@s 24,A,1,7834,RJ
@s 19,B,1,7841,RJ
@s 10,G,1,7875,RJ
@s 6,B,1,7894,RJ
@s 10,G,1,7912,RJ
@s 1,C,1,7915,RJ
@s 10,G,1,7952,RJ
@s 44,G,1,7976,RJ
@s 52,C,1,7986,RJ
@s 38,A,1,8017,RJ
@s 10,G,1,8020,RJ
@s 17,A,1,8162,RJ
@s 1,C,1,8166,RJ
@s 52,C,1,8191,RJ
@s 13,A,1,8192,OK
@s 44,G,1,8212,RJ
@s 10,G,1,8236,RJ
@s 50,A,1,8248,RJ
@s 35,C,1,8256,RJ
@s 2,B,1,8260,RJ
@s 9,C,1,8283,RJ
@s 52,C,1,8287,RJ
@s 44,G,1,8293,RJ
@s 13,G,1,8301,RJ
@s 5,A,1,8352,RJ
@s 19,B,1,8384,RJ
@s 15,G,1,8399,OK
@s 2,C,1,8487,RJ
@s 50,A,1,8497,RJ
@s 15,G,1,8509,OK
@s 5,A,1,8520,RJ
@s 19,B,1,8556,RJ
@s 10,G,1,8566,RJ
@s 31,C,1,8583,RJ
@s 39,G,1,8597,RJ
@s 9,C,1,8615,RJ
@s 10,G,1,8638,RJ
@s 5,A,1,8666,RJ
@s 50,A,1,8677,RJ
@s 31,C,1,8681,RJ
@s 38,A,1,8718,RJ
@s 47,A,1,8855,RJ
@s 36,A,1,8858,OK
@s 13,G,1,8865,RJ
@s 34,C,1,8868,RJ
@s 6,B,1,8872,OK
@s 13,C,1,8908,RJ
@s 11,A,1,8908,RJ
@s 53,G,1,8918,RJ
@s 3,A,1,8925,RJ
@s 11,G,1,8926,RJ
@s 5,A,1,8935,RJ
@s 24,A,1,8937,RJ
@s 44,G,1,8942,RJ
@s 34,C,1,8988,RJ
@s 22,C,1,9066,RJ
@s 44,G,1,9098,RJ
@s 35,C,1,9141,RJ
@s 32,C,1,9143,RJ
@s 38,C,1,9145,RJ
@s 6,A,1,9145,RJ
@s 24,A,1,9167,RJ
@s 25,C,1,9176,RJ
@s 25,C,1,9184,RJ
@s 22,C,1,9187,RJ
@s 18,C,1,9197,RJ
@s 3,A,1,9224,RJ
@s 44,C,1,9237,RJ
@s 35,C,1,9255,RJ
@s 1,A,1,9267,RJ
@s 18,G,1,9274,RJ
@s 12,F,1,9447,RJ
@s 25,C,1,9449,RJ
@s 5,A,1,9450,RJ
@s 52,E,1,9450,RJ
@s 36,G,1,9452,OK
@s 25,C,1,9454,RJ
@s 35,C,1,9455,RJ
@s 30,C,1,9462,RJ
@s 39,C,1,9479,RJ
@s 34,C,1,9482,RJ
@s 22,E,1,9485,RJ
@s 4,E,1,9485,RJ
@s 49,E,1,9486,RJ
@s 23,B,1,9490,OK
@s 5,A,1,9520,RJ
@s 16,F,1,9527,RJ
@s 3,G,1,9550,OK
@s 10,G,1,9562,RJ
@s 52,E,1,9567,RJ
@s 7,E,1,9571,RJ
@s 7,E,1,9608,RJ
@s 5,A,1,9623,OK
@s 23,C,1,9633,RJ
@s 3,G,1,9638,OK
@s 49,G,1,9639,RJ
@s 43,D,1,9641,OK
@s 35,C,1,9650,RJ
@s 45,F,1,9663,RJ
@s 9,A,1,9669,RJ
@s 18,G,1,9677,RJ
@s 5,A,1,9698,OK
@s 12,F,1,10008,RJ
@s 4,E,1,10013,RJ
@s 1,A,1,10021,RJ
@s 38,E,1,10023,RJ
@s 22,E,1,10026,RJ
@s 38,C,1,10030,RJ
@s 48,E,1,10031,RJ
@s 7,E,1,10040,RJ
@s 9,A,1,10048,RJ
@s 7,C,1,10050,RJ
@s 19,E,1,10059,RJ
@s 28,E,1,10067,RJ
@s 7,B,1,10068,RJ
@s 12,F,1,10076,RJ
@s 33,E,1,10089,RJ
@s 28,E,1,10091,RJ
@s 5,A,1,10115,OK
@s 4,F,1,10207,RJ
@s 1,E,1,10315,RJ
@s 33,E,1,10317,RJ
@s 18,C,1,10325,RJ
@s 20,B,1,10335,RJ
@s 5,A,1,10337,OK
@s 25,C,1,10339,RJ
@s 7,B,1,10344,RJ
@s 38,E,1,10349,RJ
@s 7,E,1,10350,RJ
@s 22,E,1,10354,RJ
@s 33,E,1,10363,RJ
@s 35,E,1,10364,RJ
@s 47,A,1,10375,RJ
@s 44,C,1,10376,RJ
@s 9,A,1,10383,RJ
@s 10,E,1,10385,RJ
@s 44,G,1,10410,RJ
@s 53,G,1,10418,RJ
@s 10,G,1,10426,RJ
@s 1,A,1,10531,RJ
@s 52,E,1,10634,RJ
@s 4,F,1,10639,RJ
@s 49,B,1,10641,RJ
@s 3,E,1,10646,RJ
@s 18,C,1,10648,RJ
@s 3,A,1,10652,RJ
@s 36,F,1,10657,OK
@s 3,G,1,10659,RJ
@s 33,E,1,10663,RJ
@s 19,B,1,10668,RJ
@s 49,E,1,10670,RJ
@s 49,G,1,10684,RJ
@s 3,G,1,10698,OK
@s 9,B,1,10699,RJ
@s 34,E,1,10713,RJ
@s 19,B,1,10812,RJ
@s 18,C,1,10869,RJ
@s 38,E,1,11117,RJ
@s 11,E,1,11121,RJ
@s 1,A,1,11122,RJ
@s 13,F,1,11123,RJ
@s 52,E,1,11125,OK
@s 30,E,1,11126,RJ
@s 5,C,1,11128,RJ
@s 33,E,1,11131,RJ
@s 12,E,1,11131,RJ
@s 12,F,1,11138,RJ
@s 22,E,1,11153,RJ
@s 48,E,1,11156,RJ
@s 34,E,1,11158,RJ
@s 8,A,1,11166,RJ
@s 6,F,1,11168,RJ
@s 25,C,1,11169,RJ
@s 38,E,1,11172,RJ
@s 17,E,1,11175,RJ
@s 19,E,1,11178,RJ
@s 14,F,1,11182,OK
@s 19,B,1,11190,RJ
@s 2,G,1,11224,RJ
@s 34,C,1,11230,RJ
@s 19,E,1,11239,RJ
@s 9,A,1,11244,RJ
@s 9,B,1,11253,RJ
@s 5,C,1,11257,RJ
@s 30,E,1,11270,RJ
@s 25,C,1,11353,RJ
@s 23,B,1,11362,OK
@s 3,G,1,11368,OK
@s 38,E,1,11497,RJ
@s 1,A,1,11499,RJ
@s 41,B,1,11503,RJ
@s 30,C,1,11508,RJ
@s 50,A,1,11510,RJ
@s 44,C,1,11511,RJ
@s 2,G,1,11521,RJ
@s 25,B,1,11522,RJ
@s 5,C,1,11537,RJ
@s 12,F,1,11537,RJ
@s 39,G,1,11539,RJ
@s 3,G,1,11555,OK
@s 34,E,1,11562,RJ
@s 14,F,1,11572,OK
@s 33,E,1,11601,RJ
@s 3,G,1,11603,OK
@s 9,E,1,11617,RJ
@s 14,F,1,11637,OK
@s 33,E,1,11641,RJ
@s 34,E,1,11645,RJ
@s 5,C,1,11649,RJ
@s 3,G,1,11711,OK
@s 50,A,1,11730,RJ
@s 5,C,1,11743,RJ
@s 25,C,1,11749,RJ
@s 1,A,1,11790,RJ
@s 10,G,1,11797,RJ
@s 10,C,1,11811,RJ
@s 5,E,1,11811,RJ
@s 41,B,1,11817,RJ
@s 15,B,1,11819,RJ
@s 20,B,1,11825,RJ
@s 19,B,1,11826,RJ
@s 1,E,1,11828,RJ
@s 38,E,1,11833,RJ
@s 14,C,1,11836,RJ
@s 19,E,1,11836,RJ
@s 5,E,1,11843,RJ
@s 25,B,1,11848,RJ
@s 3,E,1,11850,RJ
@s 14,C,1,11856,RJ
@s 27,G,1,11857,OK
@s 11,E,1,11861,RJ
@s 3,A,1,11875,RJ
@s 27,F,1,11876,OK
@s 5,C,1,11878,RJ
@s 3,G,1,11885,OK
@s 27,G,1,11905,OK
@s 3,G,1,11906,OK
@s 27,F,1,11916,OK
@s 15,B,1,11917,RJ
@s 3,E,1,11931,RJ
@s 3,A,1,11976,RJ
@s 20,B,1,11987,RJ
@s 10,E,1,11991,RJ
@s 5,C,1,12010,RJ
@s 37,C,1,12131,RJ
@s 6,F,1,12132,RJ
@s 5,C,1,12134,RJ
@s 18,C,1,12138,RJ
@s 49,G,1,12143,RJ
@s 3,G,1,12144,OK
@s 6,C,1,12145,RJ
@s 52,E,1,12151,OK
@s 13,E,1,12156,RJ
@s 15,B,1,12156,RJ
@s 49,E,1,12159,RJ
